longitude,latitude,temperature
119.2,35.03,
119.3,35.03,
119.4,35.03,
119.51,35.03,
119.61,35.03,
119.71,35.03,
119.81,35.03,
119.91,35.03,
120.01,35.03,
120.11,35.03,
120.21,35.03,
120.31,35.03,
120.41,35.03,
120.51,35.03,
120.61,35.03,
120.71,35.03,
120.81,35.03,
120.91,35.03,
121.01,35.03,
121.11,35.03,
121.21,35.03,
121.31,35.03,
121.41,35.03,
121.52,35.03,
121.62,35.03,
121.72,35.03,
121.82,35.03,
121.92,35.03,
122.02,35.03,
122.12,35.03,
122.22,35.03,
122.32,35.03,
122.42,35.03,
114.48,35.11,
114.58,35.11,
114.68,35.11,
114.78,35.11,
114.88,35.11,
114.98,35.11,4.73
115.08,35.11,4.8
115.18,35.11,4.86
115.28,35.11,4.89
115.38,35.11,4.89
115.49,35.11,4.86
115.59,35.11,4.79
115.69,35.11,4.69
115.79,35.11,4.56
115.89,35.11,4.39
115.99,35.11,4.21
116.09,35.11,4.01
116.19,35.11,3.81
116.29,35.11,3.62
116.39,35.11,3.45
116.49,35.11,3.31
116.59,35.11,3.2
116.69,35.11,3.14
116.79,35.11,3.14
116.89,35.11,3.19
116.99,35.11,3.29
117.09,35.11,3.45
117.19,35.11,3.66
117.29,35.11,3.91
117.39,35.11,4.18
117.5,35.11,4.48
117.6,35.11,4.78
117.7,35.11,5.08
117.8,35.11,5.36
117.9,35.11,5.62
118.0,35.11,5.85
118.1,35.11,6.04
118.2,35.11,6.2
118.3,35.11,6.33
118.4,35.11,6.42
118.5,35.11,6.5
118.6,35.11,6.55
118.7,35.11,6.59
118.8,35.11,6.63
118.9,35.11,6.66
119.0,35.11,6.69
119.1,35.11,6.7
119.2,35.11,
119.3,35.11,6.7
119.4,35.11,6.66
119.51,35.11,
119.61,35.11,
119.71,35.11,
119.81,35.11,
119.91,35.11,
120.01,35.11,
120.11,35.11,
120.21,35.11,
120.31,35.11,
120.41,35.11,
120.51,35.11,
120.61,35.11,
120.71,35.11,
120.81,35.11,
120.91,35.11,
121.01,35.11,
121.11,35.11,
121.21,35.11,
121.31,35.11,
121.41,35.11,
121.52,35.11,
121.62,35.11,
121.72,35.11,
121.82,35.11,
121.92,35.11,
122.02,35.11,
122.12,35.11,
122.22,35.11,
122.32,35.11,
122.42,35.11,
114.48,35.19,
114.58,35.19,
114.68,35.19,
114.78,35.19,
114.88,35.19,
114.98,35.19,4.75
115.08,35.19,4.82
115.18,35.19,4.88
115.28,35.19,4.91
115.38,35.19,4.91
115.49,35.19,4.87
115.59,35.19,4.79
115.69,35.19,4.68
115.79,35.19,4.52
115.89,35.19,4.34
115.99,35.19,4.12
116.09,35.19,3.89
116.19,35.19,3.66
116.29,35.19,3.43
116.39,35.19,3.22
116.49,35.19,3.05
116.59,35.19,2.91
116.69,35.19,2.82
116.79,35.19,2.79
116.89,35.19,2.83
116.99,35.19,2.92
117.09,35.19,3.08
117.19,35.19,3.28
117.29,35.19,3.54
117.39,35.19,3.83
117.5,35.19,4.14
117.6,35.19,4.47
117.7,35.19,4.79
117.8,35.19,5.1
117.9,35.19,5.38
118.0,35.19,5.64
118.1,35.19,5.86
118.2,35.19,6.04
118.3,35.19,6.19
118.4,35.19,6.31
118.5,35.19,6.41
118.6,35.19,6.49
118.7,35.19,6.55
118.8,35.19,6.61
118.9,35.19,6.67
119.0,35.19,6.71
119.1,35.19,6.75
119.2,35.19,6.78
119.3,35.19,6.78
119.4,35.19,6.76
119.51,35.19,
119.61,35.19,
119.71,35.19,
119.81,35.19,
119.91,35.19,
